Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Albania,3441,120,162,1285,622,X,X,X,X,X,2740,702,424,1048,566,6190,6,18,76,341,756,1631,630,1900,1280,86,196,2,X,43,15199,11.99,68,0,306,0,"2,965",24,,,,,,
Andorra,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Armenia,3599,121,159,2473,X,X,48,29.84,22.16,-14.8,"2,840",X,X,X,X,3687,13,15,72,X,X,X,X,720,16,80,12,X,X,49,0,10.8,X,3,X,0,X,X,,,,,,
Austria,7968,95,99,4424,X,12955,X,X,X,X,8273,1498,1954,3240,1581,11333,33,58,9,4,190,3777,2430,324,40,3800,65,X,X,966,29615,137,83,0,414,0,"2,950",35,,,,,,
Azerbaijan,7558,87,117,4216,X,X,X,X,X,-13,"8,610",2000,2200,950,X,4364,4,22,74,1000,X,X,1621,4339,200,115,35,10,30,546,0,8.73,X,0,X,0,X,X,,,,,,
Belarus,10141,49,48,7215,X,X,16.86,53.73,29.41,-9.5,"20,760",6248,3106,7000,X,7277,32,49,19,100,X,X,5851,289,30,4175,223,20,X,1249,0,0.07,X,0,X,0,X,X,,,,,,
Belgium,10113,331,341,9809,1968,13484,X,X,X,X,"3,282",X,X,X,X,1236,11,85,4,X,X,X,X,X,X,X,X,X,X,1976,5595,3.67,58,0,429,0,"1,400",1,,,,,,
Belgium/Luxembourg,X,X,X,X,X,X,X,X,X,X,3282,794,688,700,1100,X,X,X,X,1,68,4314,3289,160,9,6948,21,X,X,X,0,0,X,X,X,X,X,X,,,,,,
Bosnia and Herzegovina,3459,68,88,1695,X,X,X,X,X,X,5100,940,1000,2000,1160,X,X,X,X,2,X,X,390,600,X,223,50,1,X,29,0,14.4,X,0,X,0,X,X,,,,,,
Bulgaria,8769,79,70,6201,857,5208,12.98,38.16,48.86,-4.7,11055,4310,1811,3877,1057,23378,3,76,22,1237,485,4397,750,3763,676,2071,433,17,X,965,12846,6.99,81,0,374,0,"3,505",320,,,,,,
