Socio-Economic Baseline Data: Latin America region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Socio-Economic Baseline Data: Latin America region,,,,,,,,,,,,,,,
,Population and Human Development,,,,,,Economic Conditions,,,,,Land Cover / Use,,,,,Water,,,,,Agriculture / Food,,,,,,,,,Energy,,,Biodiversity,,,,,,,,,,
Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Argentina,34587,13,17,30463,12273,X,5.99,30.68,63.33,6,273669,27200,142000,50900,53569,28739,9,18,73,1700,1166,12067,50000,20000,3408,2200,3634,X,X,2019,115572,86.93,320,47,976,19,"9,000","1,100",,,,,,
Belize,215,9,17,101,X,4253,19.37,27.8,52.82,4.2,2280,57,48,2100,75,74419,10,0,90,2,X,X,59,4,1,26,9,X,X,4,3833,0,125,0,533,0,"2,750",150,,,,,,
Bolivia,7414,7,12,4505,X,1721,X,X,X,4,108438,2380,26500,58000,21558,40464,10,5,85,175,1015,2537,6012,7789,1517,2331,1041,X,X,86,19232,4.95,316,20,"1,274",16,"16,500","4,000",,,,,,
Brazil,161790,19,27,126599,25616,3882,X,X,X,5,845651,48955,185000,488000,123696,42957,22,19,59,2800,13189,58463,151600,20500,12200,30450,9260,1435,X,3800,2020612,845.13,394,96,"1,635",177,"55,000",X,,,,,,
Chile,14262,19,26,11966,3212,4890,X,X,X,5.8,74880,4257,13600,16500,40523,32814,6,5,89,1265,572,4942,3692,4649,600,1407,488,X,X,539,83618,63.45,91,16,448,15,"5,125","2,698",,,,,,
Colombia,35101,31,43,25526,2926,3380,X,X,X,5.1,103870,5460,40600,50000,7810,30483,41,16,43,530,2872,11327,25700,2540,960,2635,3332,X,X,829,235405,100.7,359,28,"1,695",62,"50,000","1,500",,,,,,
Costa Rica,3424,67,110,1702,1050,3569,15.29,25.78,58.94,6.1,5106,530,2340,1570,666,27745,4,7,89,120,251,1140,1694,3,2,252,126,X,X,63,35263,14.26,205,6,850,7,"11,000",950,,,,,,
Ecuador,11460,40,63,6698,1529,2830,12.11,37.62,50.27,2.1,27684,3020,2090,15600,6974,27400,7,3,90,556,1006,3585,4963,1728,345,2540,967,X,X,245,74195,21.14,302,23,"1,559",37,"18,250","4,000",,,,,,
El Salvador,5768,274,463,2599,1680,1876,8.57,24.97,66.45,5.1,2072,730,610,104,628,3285,7,4,89,120,628,1794,1256,5,15,325,123,X,X,72,38894,6.48,135,0,420,0,"2,500",17,,,,,,
French Guiana,147,X,X,112,X,X,X,X,X,X,8815,12,9,7300,1494,X,X,X,X,2,X,X,10,4,1,10,0,X,X,12,645,0,X,X,X,X,X,X,,,,,,
