Socio-Economic Baseline Data: Middle East and Arid Asia region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Population and Human Development,,,,,,Economic Conditions,,,,,Land Cover / Use,,,,,Water,,,,,Agriculture / Food,,,,,,,,,Energy,,,Biodiversity,,,,,,,,,,
Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
"Afghanistan, Islamic State",20141,31,69,4026,X,X,X,X,X,X,65209,8054,30000,1900,25255,2482,1,0,99,3000,3234,6133,1500,14200,2150,X,1483,X,265,22,50649,1.71,123,1,460,0,"3,500",800,,,,,,
Bahrain,564,831,1360,509,279,X,0.94,41.7,57.36,X,68,2,4,X,62,X,X,X,X,1,3,207,16,29,17,X,0,X,1,276,0,0,X,X,X,X,X,X,,,,,,
"Iran, Islamic Rep",67283,41,75,39716,872,3685,20.75,36.36,42.88,2.8,163600,18150,44000,11400,90050,1746,4,9,87,9400,4325,17029,7100,45400,23500,0,2288,300,140,3264,28613,39.6,140,5,502,1,X,X,,,,,,
Iraq,20449,47,97,15258,0,X,X,X,X,X,43737,5450,4000,192,34095,5340,3,5,92,2550,1041,5672,1100,6320,1050,X,196,100,15,933,1026,2.16,81,1,381,1,X,X,,,,,,
Israel,5629,267,371,5098,2826,9843,X,X,X,X,2062,435,145,126,1356,382,16,5,79,180,82,2134,362,330,100,100,11,X,10,505,126,0.11,92,3,500,0,X,X,,,,,,
Jordan,5439,56,123,3887,70,X,7.96,26.24,65.8,5.8,8893,405,791,70,7627,314,29,6,65,63,58,1190,42,2100,555,X,26,X,18,147,79,0.08,71,0,361,0,"2,200",X,,,,,,
"Kazakhstan, Rep",17111,6,8,10218,X,X,X,X,X,-12.9,"266,980",34800,186562,9600,X,9900,4,17,79,2200,X,X,9347,33524,684,2445,1440,105,55,3381,0,27.46,X,4,X,0,X,X,,,,,,
Kuwait,1547,87,157,1501,1190,X,0.49,54.82,44.69,X,1782,5,137,2,1638,103,64,32,4,2,X,X,12,150,15,X,0,X,1,471,0,0,21,0,321,0,234,X,,,,,,
Kyrgyz Rep,4745,24,36,1847,X,X,X,X,X,-16.4,"19,130",1420,8700,700,X,13003,3,7,90,900,X,X,1061,7077,219,165,310,X,50,150,0,32.05,X,X,X,X,X,X,,,,,,
