Country,Total Pop. (1000s) 1995,Current Pop. Density (persons/km2) 1995,Projected Pop. Density (persons/km2) 2025,Total Urban Pop. (1000s) 1995,Urban Pop. in Coastal Cities (1000s) 1980,GDP per Capita in Constant PPP ('85IN$) 1992,GDP from Agriculture (%) 1993,GDP from Industry (%) 1993,GDP from Services (%) 1993,GDP Annual Growth Rate (%) 1993,Total Land Area (1000ha) 1993,Arable and Permanent Cropland (1000ha) 1993,Permanent Pasture (1000 ha) 1993,Forest and Woodland (1000 ha) 1993,Other Land (1000ha) 1993,Water Resources per Capita (m3) 1995,Domestic Annual Withdraws (%) 1995,Industry Annual Withdraws (%) 1995,Agriculture Annual Withdraws (%) 1995,Irrigated Land (1000ha) 1993,Agricultural Labor Force (1000s) 1993,Total Labor Force (1000s) 1993,Cattle Stocks (1000s) 1994,Sheep Stocks (1000s) 1994,Goat Stocks (1000s) 1994,Pig Stocks (1000s) 1994,Equines (horses /mules/asses) (1000s) 1994,Buffalo Stocks (1000s) 1994,Camel Stocks (1000s) 1994,Total Commercial Energy Consumption (PJ) 1993,Traditional Fuel Consumption (TJ) 1991,Commercial Hydroelectric Consumption (PJ) 1993,Known Mammal Species (#) 1990's,Endemic Mammal Species (#) 1990's,Known Bird Species (#) 1990's,Endemic Bird Species (#) 1990's,Known Plant Species (#) 1990's,Endemic Plant Species (#) 1990's,,,,,,
Antigua and Barbuda,66,X,X,24,X,X,X,X,X,3.5,44,8,4,X,32,X,X,X,X,X,X,X,16,1,12,4,3,X,X,4,0,0,X,X,X,X,X,X,,,,,,
Bahamas,276,20,27,239,X,X,X,X,X,X,1001,10,2,324,665,X,X,X,X,X,X,X,6,40,19,15,0,X,X,24,0,0,X,X,X,X,X,X,,,,,,
Barbados,262,609,719,124,100,X,X,X,X,1.5,43,16,2,5,20,X,X,X,X,X,8,138,25,41,5,30,5,X,X,14,1676,0,X,X,X,X,X,X,,,,,,
Cape Verde,392,97,182,213,125,1085,12.85,15.26,71.89,4,403,45,25,1,332,X,X,X,X,3,57,140,18,7,137,111,15,X,X,2,0,0,X,X,X,X,X,X,,,,,,
Comoros,653,292,736,201,89,527,39.45,12.25,48.3,1.2,223,100,15,40,68,X,X,X,X,X,199,257,50,15,128,X,5,X,X,1,0,0.01,X,X,X,X,X,X,,,,,,
Cook Islands,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,8,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,
Cuba,11041,100,114,8389,6628,X,X,X,X,X,10982,3340,2970,2608,2064,3125,9,2,89,910,850,4727,4500,310,95,1503,617,X,X,369,204977,0.38,31,12,342,22,6004,3229,,,,,,
Cyprus,742,80,100,401,291,9203,5.69,24.85,69.46,X,924,158,4,123,639,X,X,X,X,39,64,334,61,285,200,370,8,X,X,63,240,0,X,X,X,X,X,X,,,,,,
Dominica,71,X,X,X,X,X,X,X,X,X,75,17,200*,50, -192*,X,X,X,X,X,X,X,9,8,10,5,0,X,X,1,0,0.06,X,X,X,X,X,X,,,,,,
Dominican Republic,7823,161,229,5051,2787,2250,15.49,22.96,61.55,2.9,4838,1450,2,600,2786,2557,5,6,89,230,817,2478,2450,134,587,900,616,X,X,148,25348,6.35,20,0,254,0,5000,1800,,,,,,
